2026-03-16 13:57:30 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000&$skip=60000
2026-03-16 13:57:30 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 4, período=202506, tipo=2, página=7, linhas=10000
2026-03-16 13:57:30 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000&$skip=70000
2026-03-16 13:57:46 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000&$skip=70000
2026-03-16 13:57:46 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 4, período=202506, tipo=2, página=8, linhas=1448
2026-03-16 13:57:46 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório extraído: período=202506, tipo=2, relatório=4, linhas_totais=71448
2026-03-16 13:57:46 | INFO     | bank_credit_pipeline.probe |    71448 linhas, 10 colunas, tipo usado=2
2026-03-16 13:57:55 | INFO     | bank_credit_pipeline.probe |    Relatório 'capital' (código=5)...
2026-03-16 13:57:55 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='5'&$format=json&$top=10000
2026-03-16 13:58:08 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='5'&$format=json&$top=10000
2026-03-16 13:58:08 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 5, período=202506, tipo=2, página=1, linhas=0
2026-03-16 13:58:08 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório extraído: período=202506, tipo=2, relatório=5, linhas_totais=0
2026-03-16 13:58:08 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=3&@Relatorio='5'&$format=json&$top=10000
2026-03-16 13:58:20 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=3&@Relatorio='5'&$format=json&$top=10000
2026-03-16 13:58:20 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 5, período=202506, tipo=3, página=1, linhas=0
2026-03-16 13:58:20 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório extraído: período=202506, tipo=3, relatório=5, linhas_totais=0
2026-03-16 13:58:20 | WARNING  | bank_credit_pipeline.probe |    VAZIO ou FALHA
2026-03-16 13:58:20 | INFO     | bank_credit_pipeline.probe |    Relatório 'credito_indexador' (código=7)...
2026-03-16 13:58:20 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='7'&$format=json&$top=10000
2026-03-16 13:58:45 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='7'&$format=json&$top=10000
2026-03-16 13:58:45 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 7, período=202506, tipo=2, página=1, linhas=0
2026-03-16 13:58:45 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório extraído: período=202506, tipo=2, relatório=7, linhas_totais=0
2026-03-16 13:58:45 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=3&@Relatorio='7'&$format=json&$top=10000
2026-03-16 13:58:57 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=3&@Relatorio='7'&$format=json&$top=10000
2026-03-16 13:58:57 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 7, período=202506, tipo=3, página=1, linhas=0
2026-03-16 13:58:57 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório extraído: período=202506, tipo=3, relatório=7, linhas_totais=0
2026-03-16 13:58:57 | WARNING  | bank_credit_pipeline.probe |    VAZIO ou FALHA
